xcoord	ycoord	lab	tumor	
C1_18.921_4.999	18.921	4.999	L1	non
C1_19.973_4.997	19.973	4.997	L2	tumor
C1_17.887_5.988	17.887	5.988	L3	tumor
C1_18.931_5.99	18.931	5.99	L4	non
C1_19.986_6.024	19.986	6.024	L5	tumor
C1_16.894_6.034	16.894	6.034	L6	tumor
C1_18.911_6.994	18.911	6.994	L7	non
C1_17.923_7.011	17.923	7.011	L8	tumor
C1_16.892_6.999	16.892	6.999	L9	tumor
C1_20.026_7.008	20.026	7.008	L10	tumor
C1_15.866_7.027	15.866	7.027	L11	tumor
C1_19.991_7.959	19.991	7.959	L12	tumor
C1_15.895_7.969	15.895	7.969	L13	tumor
C1_18.922_7.971	18.922	7.971	L14	non
C1_13.953_7.997	13.953	7.997	L15	tumor
C1_16.912_8.001	16.912	8.001	L16	tumor
C1_17.931_8.004	17.931	8.004	L17	tumor
C1_12.985_8.018	12.985	8.018	L18	tumor
C1_20.908_8.936	20.908	8.936	L19	tumor
C1_9.855_8.942	9.855	8.942	L20	tumor
C1_19.995_8.962	19.995	8.962	L21	tumor
C1_15.905_8.966	15.905	8.966	L22	tumor
C1_18.918_8.969	18.918	8.969	L23	tumor
C1_13.001_8.985	13.001	8.985	L24	tumor
C1_17.942_8.973	17.942	8.973	L25	tumor
C1_14.963_8.985	14.963	8.985	L26	tumor
C1_16.897_8.992	16.897	8.992	L27	tumor
C1_12.043_9.005	12.043	9.005	L28	tumor
C1_14.001_9.005	14.001	9.005	L29	tumor
C1_20.91_9.909	20.91	9.909	L30	tumor
C1_19.983_9.919	19.983	9.919	L31	tumor
C1_18.914_9.926	18.914	9.926	L32	tumor
C1_17.912_9.927	17.912	9.927	L33	tumor
C1_8.972_9.932	8.972	9.932	L34	tumor
C1_15.874_9.942	15.874	9.942	L35	tumor
C1_16.896_9.941	16.896	9.941	L36	tumor
C1_12.014_9.967	12.014	9.967	L37	tumor
C1_12.979_9.954	12.979	9.954	L38	tumor
C1_14.981_9.955	14.981	9.955	L39	tumor
C1_13.96_9.979	13.96	9.979	L40	tumor
C1_20.888_10.895	20.888	10.895	L41	tumor
C1_7.887_10.939	7.887	10.939	L42	tumor
C1_18.919_10.924	18.919	10.924	L43	tumor
C1_19.977_10.923	19.977	10.923	L44	tumor
C1_12.029_10.965	12.029	10.965	L45	tumor
C1_14.977_10.942	14.977	10.942	L46	tumor
C1_17.916_10.944	17.916	10.944	L47	tumor
C1_15.912_10.963	15.912	10.963	L48	tumor
C1_16.89_10.953	16.89	10.953	L49	tumor
C1_12.986_10.963	12.986	10.963	L50	tumor
