HGNC ID	Approved symbol	Approved name	Ensembl ID(supplied by Ensembl)
HGNC:5	A1BG	alpha-1-B glycoprotein	ENSG00000121410
HGNC:37133	A1BG-AS1	A1BG antisense RNA 1	ENSG00000268895
HGNC:24086	A1CF	APOBEC1 complementation factor	ENSG00000148584
HGNC:6	A1S9T	symbol withdrawn, see [HGNC:12469](/data/gene-symbol-report/#!/hgnc_id/HGNC:12469)	
HGNC:7	A2M	alpha-2-macroglobulin	ENSG00000175899
HGNC:27057	A2M-AS1	A2M antisense RNA 1	ENSG00000245105
HGNC:23336	A2ML1	alpha-2-macroglobulin like 1	ENSG00000166535
HGNC:41022	A2ML1-AS1	A2ML1 antisense RNA 1	ENSG00000256661
HGNC:41523	A2ML1-AS2	A2ML1 antisense RNA 2	ENSG00000256904
HGNC:8	A2MP1	alpha-2-macroglobulin pseudogene 1	ENSG00000256069
HGNC:9	A2MR	symbol withdrawn, see [HGNC:6692](/data/gene-symbol-report/#!/hgnc_id/HGNC:6692)	
HGNC:10	A2MRAP	symbol withdrawn, see [HGNC:6701](/data/gene-symbol-report/#!/hgnc_id/HGNC:6701)	
HGNC:30005	A3GALT2	alpha 1,3-galactosyltransferase 2	ENSG00000184389
HGNC:18149	A4GALT	alpha 1,4-galactosyltransferase (P blood group)	ENSG00000128274
HGNC:17968	A4GNT	alpha-1,4-N-acetylglucosaminyltransferase	ENSG00000118017
HGNC:1	A12M1	adenovirus-12 chromosome modification site 1C	
HGNC:2	A12M2	adenovirus-12 chromosome modification site 1A	
HGNC:3	A12M3	adenovirus-12 chromosome modification site 1B	
HGNC:4	A12M4	adenovirus-12 chromosome modification site 17	
HGNC:11	AA	symbol withdrawn, see [HGNC:11714](/data/gene-symbol-report/#!/hgnc_id/HGNC:11714)	
HGNC:13666	AAAS	aladin WD repeat nucleoporin	ENSG00000094914
HGNC:12	AABT	amino acid transport, beta	
HGNC:13	AAC1	symbol withdrawn, see [HGNC:7645](/data/gene-symbol-report/#!/hgnc_id/HGNC:7645)	
